spm,svar
"Hei, Jeg får ikke en trace-ID så vidt jeg kan se. Men feilmelding er:  «{client_auth_id"":""PJ_FwLOhVgOzHlUA"",error:""invalid_client"",error_description:""Invalid client: Possible causes may be 1. missing \/ invalid client_id; 2. missing client authentication; 3. invalid or expired client secret; 4. invalid or expired JWT authentication; 5. invalid or expired client X.509 certificate; 6. an unexpected client authentication method""}” Vi bruker en hyllevareløsning (ServiceNow). Jeg ser at på den nye ID-porten-versjonen, når vi bruker PKCE, blir ikke client_secret lagt til i body som vi sender dere på /token.  Ser body her riktig ut for type client secret post, eller burde client_secret vært den del her?Accept=application%2Fjson&grant_type=authorization_code&redirect_uri=https%3A%2F%2Fno...no%2Fnavpage.do&client_id=d67ac0e1-42c3-4877-9d1b-f27b36424bf6&code_verifier=oMmtvBO…eodgsbHJirIK&Content-Type=application%2Fx-www-form-urlencoded&code=9f46bPtn…FfVygTaLfouNg  Hvis interessant så er header:Content-Length=318, Content-Type=application/x-www-form-urlencoded, X-SNC-INTEGRATION-SOURCE=3d247f3faf033010fae2111a3727493f, User-Agent=ServiceNow/1.0, Host=test.idporten.no""","Har du mulighet til å senda over JWT, så kan me sjå litt nærare på det?"
"Hei,  Ikke helt klart hvilken JWT du referere til. Vi bruker Client Secret Post og vi feiler med å få svar i fra /token (Status 401). se under for full request header/body og response header/body. Slik jeg forstår docsa er det første JWT involvert her det vi skulle fått som svar fra /token-endepunktet. Si gjerne fra hvis det er jeg som misforstår noe her.   URL: https://test.idporten.no/token Request headers:{Content-Length=318, Content-Type=application/x-www-form-urlencoded, X-SNC-INTEGRATION-SOURCE=3d247f3faf033010fae2111a3727493f, User-Agent=ServiceNow/1.0, Host=test.idporten.no} Request Body: Accept=application%2Fjson&grant_type=authorization_code&redirect_uri=https%3A%2F%2Fnow.ref.norgov.no%2Fnavpage.do&client_id=d67ac0e1-42c3-4877-9d1b-f27b36424bf6&code_verifier=LDovnHYKioslPZHirtzMVIBJNRDoaXISTMOcTLPTkjQ&Content-Type=application%2Fx-www-form-urlencoded&code=4EZSAuTT6gGd-F5Q1f96rw.UKzpeDghXvoea8x4X1c-fA Response status: 401 Response Headers:{set-cookie=dtCookie=v_4_srv_63_sn_102B1EB2D9381C5A9269960AD2B1223E_perc_100000_ol_0_mul_1_app-3Aea7c4b59f27d43eb_1_rcs-3Acss_0; Path=/; Domain=.idporten.no, set-cookie=ae8f6e07cbd4dde8431e58944ce42790=44f338e9ac386c06300642418c79a792; path=/; HttpOnly; Secure; SameSite=None, x-oneagent-js-injection=true, server-timing=dtRpid;desc=341159658"", dtSInfo;desc=""0"", cache-control=no-store, pragma=no-cache, www-authenticate=Bearer, content-type=application/json;charset=UTF-8, content-length=363, date=Thu, 12 Oct 2023 13:58:54 GMT, Set-Cookie=BIGipServer~DigDir-Test~pool_digdir_test.idporten.no_https=rd3567o00000000000000000000ffff8b6920d1o443; path=/; Httponly; Secure, Strict-Transport-Security=max-age=16070400; includeSubDomains} Response body:""client_auth_id"":""wjtdmwNXCMnt2cyK"",error:""invalid_client"",error_description:""Invalid client: Possible causes may be 1. missing \/ invalid client_id; 2. missing client authentication; 3. invalid or expired client secret; 4. invalid or expired JWT authentication; 5. invalid or expired client X.509 certificate; 6. an unexpected client authentication method"",Hei. Trur eg ser problemet. De har lagt inn Kundens org nr"" i integrasjonen i Samarbeidsportalen - kan godt vera dette skapar problem. Har fjerna den no","kan de forsøka igjen og sjå kva respons de får?"""
"Hei, Ser ut til at det gjorde at vi ikke fikk brukt den i det hele tatt, da vi får denne nå før vi når bankid-delen.   invalid_requestInvalid+client+ID:+d67ac0e1-42c3-4877-9d1b-f27b36424bf6 (traceId=a3ca6e1084d35ccc4e5e804d3baea9fd)","Såg ut som integrasjonen mangla scope profile"" og ""openid"""
"Hei,Har en bruker som stadig får dette når hun velger signerte dokumenter.Hva kan vi gjøre for å hjelpe? Ja hun kan søke opp saker, det går fint,Men hun ønsker å se resultatet på alle sine signerte oppdrag som er yngre enn 40 dager.un lurer på om det kanskje har noe med at det ligger veldig mange ferdige oppdrag i hennes bruker.Tror du det har noe å si? Kan dere evt slette alle oppdrag som er eldre enn 40 dager?Hun har ingen annen pc enn den hun jobber på.",domstolene i Norge har ikke aktivert langtidslagring. Det betyr at oppdrag eldre enn 40 dager ikke blir lagret. Vi får dessverre ikke gjort noe mer for henne dersom loggen har så store mengder at det feiler. Da er det å begrense utvalget i dokumentsøk som er alternativet.
"Hei,Kommunene våre skal ha tilganger på plass (ref under), og skal i gang med Visma Generell sak / Visma flyt barnevern.Da skal vi aktivere eSignering, og det er kommunenes org.nr som skal være behandler har Visma gitt tilbakemelding om. Spørsmål til kostnader og type autentisering i eSigneringsløsnigen – er det «Autentisert» eller «Avansert» signatur vi skal forholde oss til kostnadene for ved bruk via Generell sak/Flyt barnevern?Eller er dette noe man kan velge for hver signering? Beklager at jeg må ha det inn med t-skje","Hei, Autentisert/avansert signering er noe man velger ved hver signering. Så og si alle velger autentisert."
"Hei.Først og fremst har jeg sett av driftsmeldingene hos dere at det har vært litt ustabilitet de siste dagene som kunne påvirke eFormidling (DPI). Men at disse nå står til løst.Et par av kundene våre har opplevd og opplever fortsatt at DPI-meldinger ikke kommer frem.I dette tilfellet gjelder det Statens Jernbanetilsyn.Jeg har sendt en DPI-melding til meg selv. (messageid: 0de8c77a-b0db-48a2-ae2f-ace6cb2ce008)  Og jeg kan se at dette oppdraget har status OPPRETTET i integrasjonspunktet deres. Men her blir det liggende frem til jeg får ny status LEVETID_UTLØPT.Har dere noen lure tips på lager her som kan hjelpe oss i mål?""",Hei! har dere sett denne: https://status.digdir.no/incidents Oppdater til 2.21.0 eller nyere evt endre print URL til difi.move.dpi.krr-print-url=https://test.kontaktregisteret.no/rest/v2/printSertifikat i propertiesfilen. Husk å starte opp igjen tjenesten etter den er lagt inn
"Hei igjen.  Jeg har problemer med min test bruker, har tidligere brukt min ID, men ble sperret grunnet feil passord sto det. Den ble restartet, men får ikke åpnet den igjen. Grunnen er at jeg kan bruke bank ID på sikkerhetsnivå 3, men vårt test miljø trenger sikkerhetsnivå 4. Noen som kan hjelpe meg med dette?","Hei! Du kan forsøke å velge bankID (med kodebrikke) som innlogging. Engangskode: otp,Passord qwer1234 Det burde fungere som normalt"
"Hi Team,We are currently working on based on the facts in the documentation and we came to place where we need to retrieve a token from IDPorten. So, the below endpoint is used with the required header information. EndPoint : https://test.idporten.no/token""Content of the request message : grant_type=authorization_code&code=******&client_id=******&code_verifier=*******, Encoding.UTF8, ""application/x-www-form-urlencoded""Method: POSTAuthorization of the request header: Schema : Basic,  Parameter:  Encode client id and the password with colon as bytes (clientId and the password) and then converted to a Base64String.After binding all values to the request with the asynchronous call, it gives below 400 errors from the server side.Invalid or expired authorization code, redirection URI mismatch, or PKCE verification failurePlease note that we are using the same way which was we used for previous endpoints and nothing did additionally.Could you please have a look on this and advise us?""","Hi, What integration ID/client ID is this? And what is the time for your request?"
"Vi ønsker å få lagt inn Steffen Langeland som admin i samarbeidsportalen steffen.langeland@ullensaker.kommune.no, han skal ha tilganger til å gjøre endringer i prod","Hei. Vedkomande kan registrere seg i Samarbeidsportalen med si @ullensaker.kommune.no epostadresse.Slik får du tilgang til prod, https://docs.digdir.no/docs/Maskinporten/maskinporten_sjolvbetjening_web#tilgang-i-produksjonsmilj%C3%B8"
"Hei,  Jeg har en ansatt som skal ha administratortilgang til samarbeidsportalen for vår virksomhet. Hvordan går jeg fram for å gi han tilgang? Med hilsen IKT Landbruksdirektoratet",Hei. Vedkomande kan registrere seg / logge inn på https://minside-samarbeid.digdir.no/ Alle med @landbruksdirektoratet.no epostadresse får tilgang til verksemda ved å registrere seg.
"Hei, men han må bla. ha tilgang til endring i PROD-integrasjonen med ID-porten (se id 387155fd-8495-4097-bc2e-f3dbd286167f på https://selvbetjening-samarbeid-prod.difi.no/integrations/), Det krever vel at jeg godkjenner.",Hei.Ja. Då må du delegere visse rettigheter i Altinn: https://docs.digdir.no/docs/Maskinporten/maskinporten_sjolvbetjening_web.html#tilgang-i-produksjonsmilj%C3%B8
"Hei, Jeg fikk følgende svar fra Altinn: Tjenesten er i utgangspunktet kun tilgjengelig for offentlige etater. Forespørselen deres ligger til behandling hos jurist. Beklager at det tar litt tid å få svar.  Er det noe dere kjenner fra før? Stemmer det at DPV er reservert bare til bruk av offentlige etater? Høres rart ut.",Alle våre tjenester er i utganspunktet for offentlige tjenester Men vi får berre vente på svar fra Altinn
Hva med DPV på vegne av en offentlig virksomhet? Kan det konfigureres i TEST nå? Da skal kundene våre egentlig bare bestille en testbruker og dele den med oss? Eller er det noe mer enn det?,"Det er vell dette:Følgende virksomheter kan benytte seg av fellesløsningene: Offentlig virksomhet og virksomheter som utfører oppgaver på vegne av, og som helt eller delvis er finansiert av, det offentlige. Dette omfatter blant annet alle sentrale og lokale statlige organer, herunder tilsyn, ombud og direktorater, alle fylkeskommuner, kommuner og kommunale etater, samt offentlig eide selskaper som bare leverer tjenester til det offentlige (egenregi). I tillegg omfattes private virksomheter som treffer vedtak etter forvaltningsloven, og private virksomheter som yter tjenester etter avtale med og på vegne av det offentlige, men da begrenset til den delen av virksomheten som omfattes av forvaltningsloven eller utføres på vegne av det offentlige."
Hei Hvis jeg skal skjule en virksomhet må jeg legge inn et passord. Hva er regelen her? Dvs. hvor mange tegn i passordet osv.?,Du bruker ditt personlig passord som du bruker til å logge inn.
